Pizza
Végétarienne    Tomate fraiches, tapenade d'olives, tomates séchées 9
Jambon Mozza    Blancs de volaille, base mozzarella, parmessan, tomate fraiches    10
Trois Fromage    Mozzarella, chèvre, gorgonzola, tomates fraiches, sauce tomates fraiches, sauce tomate   10
Régina    Jambon cuit, champignons de Paris frais, mozzarella, sauce tomate    11
Margherita    Fromage mozzarella, sauce tomate, olives, origan    12
Vésuvio   Chorizo, poivrons frais, oignons rouges, œuf, mozzarella, sance tomate   11
Merguez Merguez    bœuf et mouton, oignons rouges, dés de tomate    11
Déssert
Café gourmand   Café, décaféiné ou thé Gaufre ou Moelleux au chocolat   5
Moelleux au chocolate    Moelleux au chocolat, amandes grillées, tout juste sorti du formage   7
Crousti poire    Mini-pizza cuite â la minute, crème d'amandes, poire caramé    7
Mousse au chocolate    Du chocolat noir fondant allégé aux blancs d'œufs    6,5
Glaces
Coupe Antillaise    Rhim-raisin (3boules), rhum(3cl)    3
Colonel italen    Citron (3boules), Grappa Piave(3 cl)   3,2
Fresca coulis    Sorbets : vitron, framboise, fruit de la passion, couils de frame   4,5
